iter	Passed	Remaining
0	177	177140
1	179	89471
2	181	60300
3	183	45619
4	186	37022
5	188	31280
6	191	27146
7	194	24061
8	196	21634
9	198	19692
10	201	18094
11	203	16730
12	205	15573
13	206	14571
14	209	13757
15	210	12942
16	212	12265
17	214	11680
18	216	11187
19	219	10777
20	222	10390
21	225	10040
22	228	9696
23	230	9374
24	233	9089
25	234	8789
26	236	8513
27	238	8279
28	241	8084
29	244	7891
30	247	7722
31	250	7568
32	252	7384
33	254	7219
34	256	7066
35	258	6930
36	260	6781
37	261	6627
38	263	6492
39	265	6368
40	266	6239
41	268	6121
42	269	6006
43	271	5900
44	273	5810
45	275	5711
46	276	5614
47	279	5536
48	280	5445
49	284	5402
50	285	5319
51	287	5235
52	289	5168
53	290	5090
54	292	5019
55	293	4948
56	294	4874
57	296	4814
58	297	4748
59	298	4683
60	301	4640
61	302	4582
62	304	4521
63	305	4464
64	306	4409
65	307	4355
66	308	4301
67	309	4244
68	310	4193
69	312	4152
70	314	4109
71	315	4062
72	316	4016
73	317	3972
74	318	3929
75	319	3887
76	320	3843
77	321	3799
78	322	3758
79	323	3721
80	324	3683
81	325	3649
82	327	3616
83	328	3584
84	329	3547
85	330	3514
86	331	3479
87	333	3453
88	334	3423
89	335	3392
90	336	3362
91	338	3336
92	339	3308
93	340	3278
94	341	3249
95	342	3222
96	343	3195
97	344	3170
98	345	3144
99	346	3118
100	347	3095
101	348	3067
102	349	3045
103	350	3022
104	351	2998
105	352	2976
106	353	2954
107	355	2933
108	356	2912
109	357	2888
110	358	2868
111	359	2848
112	360	2829
113	361	2810
114	362	2790
115	363	2769
116	364	2752
117	366	2735
118	366	2715
119	367	2697
120	368	2678
121	369	2660
122	370	2640
123	371	2622
124	372	2607
125	373	2589
126	374	2573
127	375	2555
128	376	2541
129	377	2525
130	378	2509
131	379	2493
132	380	2479
133	381	2465
134	382	2451
135	383	2436
136	385	2426
137	386	2411
138	387	2399
139	388	2385
140	389	2371
141	390	2358
142	391	2345
143	392	2333
144	393	2321
145	394	2308
146	395	2296
147	396	2283
148	397	2272
149	398	2259
150	400	2249
151	401	2239
152	402	2229
153	403	2217
154	404	2206
155	405	2195
156	406	2183
157	408	2176
158	409	2165
159	410	2154
160	411	2145
161	412	2136
162	414	2126
163	415	2116
164	416	2105
165	417	2096
166	418	2088
167	419	2079
168	421	2070
169	422	2060
170	423	2051
171	424	2044
172	425	2034
173	426	2023
174	427	2014
175	428	2004
176	429	1996
177	430	1987
178	431	1978
179	432	1970
180	433	1959
181	434	1952
182	435	1944
183	436	1935
184	437	1927
185	438	1918
186	439	1911
187	440	1903
188	441	1896
189	443	1888
190	444	1881
191	445	1874
192	446	1867
193	447	1859
194	448	1850
195	449	1843
196	450	1836
197	451	1828
198	452	1821
199	453	1813
200	454	1805
201	455	1800
202	456	1793
203	457	1786
204	458	1779
205	459	1772
206	460	1765
207	462	1759
208	463	1752
209	463	1744
210	464	1738
211	465	1731
212	467	1725
213	468	1719
214	469	1713
215	470	1707
216	471	1700
217	472	1694
218	473	1688
219	474	1683
220	475	1677
221	476	1671
222	477	1665
223	479	1659
224	480	1654
225	481	1648
226	482	1643
227	483	1637
228	484	1631
229	485	1625
230	486	1619
231	487	1613
232	488	1607
233	489	1602
234	490	1596
