iter	Passed	Remaining
0	146	146741
1	152	76332
2	155	51544
3	159	39834
4	162	32421
5	166	27530
6	168	23953
7	170	21166
8	173	19139
9	177	17564
10	182	16364
11	185	15279
12	188	14330
13	191	13480
14	194	12740
15	196	12096
16	200	11612
17	204	11169
18	207	10703
19	209	10243
20	212	9892
21	216	9605
22	218	9291
23	220	8961
24	222	8678
25	223	8390
26	226	8158
27	228	7932
28	230	7703
29	231	7486
30	232	7274
31	234	7100
32	236	6916
33	237	6738
34	238	6576
35	240	6437
36	241	6297
37	242	6149
38	243	6011
39	244	5876
40	246	5761
41	247	5646
42	248	5533
43	250	5433
44	251	5330
45	252	5240
46	253	5145
47	254	5056
48	256	4976
49	257	4899
50	258	4815
51	259	4735
52	260	4660
53	261	4586
54	263	4523
55	264	4463
56	266	4412
57	267	4351
58	269	4295
59	270	4244
60	272	4188
61	273	4132
62	274	4078
63	275	4029
64	276	3980
65	277	3928
66	278	3883
67	280	3842
68	281	3803
69	283	3760
70	284	3727
71	285	3683
72	287	3648
73	288	3612
74	290	3578
75	291	3543
76	292	3505
77	293	3474
78	295	3444
79	296	3410
80	297	3375
81	298	3341
82	299	3306
83	300	3277
84	301	3249
85	303	3220
86	304	3192
87	306	3176
88	308	3152
89	309	3132
90	311	3114
91	313	3090
92	314	3064
93	315	3036
94	316	3011
95	317	2987
96	318	2965
97	319	2942
98	320	2919
99	322	2902
100	323	2880
101	325	2864
102	326	2842
103	327	2822
104	328	2803
105	329	2782
106	331	2764
107	332	2746
108	333	2728
109	335	2711
110	336	2691
111	337	2675
112	338	2657
113	339	2640
114	340	2622
115	341	2605
116	342	2585
117	343	2568
118	344	2551
119	347	2545
120	348	2532
121	349	2517
122	351	2503
123	352	2493
124	354	2479
125	355	2467
126	356	2452
127	358	2443
128	360	2431
129	362	2427
130	364	2419
131	366	2408
132	367	2394
133	369	2385
134	370	2373
135	371	2359
136	372	2345
137	373	2332
138	374	2322
139	376	2312
140	377	2300
141	378	2287
142	379	2274
143	380	2262
144	382	2252
145	383	2241
146	384	2230
147	385	2218
148	386	2208
149	387	2198
150	389	2188
151	390	2178
152	391	2167
153	393	2159
154	394	2151
155	395	2140
156	396	2129
157	397	2118
158	398	2108
159	400	2100
160	400	2089
161	402	2079
162	402	2069
163	403	2058
164	404	2048
165	406	2040
166	407	2031
167	408	2022
168	409	2013
169	410	2003
170	411	1995
171	412	1986
172	413	1976
173	414	1967
174	415	1958
